playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"497302","null","Brandon LaFell","WR","NE","WR","NE","null","0","null","null","535","166","null","null","0","null","null","null","0","0","null","null",
"497312","null","Preston Parker","WR","NYG","WR","NYG","null","6.0767","null","null","246","81","null","null","0.3493","null","null","null","8.7126","1.9149","4.523","null",
"497320","null","Andre Roberts","WR","WAS","WR","WAS","null","6.4995","null","null","228","75","null","null","0.114","null","null","null","8.7857","2.5528","3.1083","null",
"497322","null","Emmanuel Sanders","WR","DEN","WR","DEN","null","15.9062","null","null","40","11","null","null","0.1895","null","null","null","16.9696","14.1308","5.4559","null",
"497326","null","Golden Tate","WR","DET","WR","DET","null","14.1186","null","null","57","18","null","null","0.2411","null","null","null","14.9641","13.062","4.8271","null",
"497328","null","Demaryius Thomas","WR","DEN","WR","DEN","null","18.2369","null","null","15","4","null","null","1.1081","null","null","null","19.8656","16.13","6.1564","null",
"497336","null","Damian Williams","WR","FA","WR","FA","null","0","null","null","535","166","null","null","0","null","null","null","0","0","null","null",
"1037347","null","Joe Webb","QB","CAR","QB","CAR","null","0","null","null","535","67","null","null","0","null","null","null","0","0","null","null",
"1037366","null","Michael Palmer","TE","FA","TE","FA","null","0","null","null","535","99","null","null","0","null","null","null","0","0","null","null",
"1037847","null","Deji Karim","RB","FA","RB","FA","null","0","null","null","535","142","null","null","0","null","null","null","0","0","null","null",
"1037885","null","Marc Mariani","WR","CHI","WR","CHI","null","0.9838","null","null","431","142","null","null","0.0942","null","null","null","1.1734","0.7637","6.5715","null",
"2495139","null","Charles Clay","TE","BUF","TE","BUF","null","8.4836","null","null","168","20","null","null","0.5252","null","null","null","9.9675","5.751","4.4374","null",
"2495143","null","Andy Dalton","QB","CIN","QB","CIN","null","16.3744","null","null","34","23","null","null","0.2377","null","null","null","17.549","15.0898","2.4647","null",
"2495150","null","Kai Forbath","K","FA","K","FA","null","3.4753","null","null","328","32","null","null","3.4753","null","null","null","6.2203","0","8.4182","null",
"2495158","null","Leonard Hankerson","WR","ATL","WR","ATL","null","5.0919","null","null","280","94","null","null","0.1347","null","null","null","7.3826","0.741","4.2772","null",
"2495159","null","Dwayne Harris","WR","NYG","WR","NYG","null","1.9943","null","null","376","125","null","null","0.1471","null","null","null","2.8084","0.7824","5.6183","null",
"2495161","null","Roy Helu","RB","OAK","RB","OAK","null","5.3002","null","null","274","59","null","null","0.1828","null","null","null","7.5436","0","6.5966","null",
"2495162","null","Alex Henery","K","FA","K","FA","null","0","null","null","535","33","null","null","0","null","null","null","0","0","null","null",
"2495172","null","Kendall Hunter","RB","SF","RB","SF","null","0","null","null","535","142","null","null","0","null","null","null","0","0","null","null",
"2495179","null","Jerrel Jernigan","WR","FA","WR","FA","null","0","null","null","535","166","null","null","0","null","null","null","0","0","null","null",
"2495186","null","Colin Kaepernick","QB","SF","QB","SF","null","18.821","null","null","12","8","null","null","0.4357","null","null","null","19.8206","16.2521","2.4065","null",
"2495187","null","Lance Kendricks","TE","STL","TE","STL","null","5.0897","null","null","281","32","null","null","0.1444","null","null","null","6.8594","3.1543","2.8959","null",
"2495189","null","Jeremy Kerley","WR","NYJ","WR","NYJ","null","3.2322","null","null","334","109","null","null","0.0472","null","null","null","5.6483","0.46","5.4741","null",
"2495192","null","Greg Little","WR","CIN","WR","CIN","null","0.3174","null","null","492","155","null","null","0.0385","null","null","null","0.632","0","6.2027","null",
"2495194","null","Jake Locker","QB","FA","QB","FA","null","0","null","null","535","67","null","null","0","null","null","null","0","0","null","null",
"2495207","null","DeMarco Murray","RB","PHI","RB","PHI","null","15.8745","null","null","41","5","null","null","0.5621","null","null","null","18.1761","14.1532","6.8133","null",
"2495211","null","Niles Paul","TE","WAS","TE","WAS","null","0","null","null","535","99","null","null","0","null","null","null","0","0","null","null",
"2495212","null","Austin Pettis","WR","FA","WR","FA","null","0","null","null","535","166","null","null","0","null","null","null","0","0","null","null",
"2495215","null","Christian Ponder","QB","FA","QB","FA","null","0","null","null","535","67","null","null","0","null","null","null","0","0","null","null",
"2495223","null","Greg Salas","WR","FA","WR","FA","null","0","null","null","535","166","null","null","0","null","null","null","0","0","null","null",
"2495234","null","Luke Stocker","TE","TB","TE","TB","null","0.4129","null","null","484","89","null","null","0.0765","null","null","null","0.5876","0.03","6.6762","null",
"2495240","null","Tyrod Taylor","QB","BUF","QB","BUF","null","15.0978","null","null","49","27","null","null","1.3427","null","null","null","16.8281","13.5086","3.0527","null",
"2495241","null","Daniel Thomas","RB","CHI","RB","CHI","null","0","null","null","535","142","null","null","0","null","null","null","0","0","null","null",
"2495258","null","Matt Asiata","RB","MIN","RB","MIN","null","3.6754","null","null","320","76","null","null","0.1478","null","null","null","6.0605","0.32","6.9171","null",
"2495259","null","Dan Bailey","K","DAL","K","DAL","null","9.1712","null","null","149","7","null","null","0.1413","null","null","null","10.3581","7.7209","6.2509","null",
"2495267","null","Jordan Cameron","TE","MIA","TE","MIA","null","11.3436","null","null","103","9","null","null","0.4832","null","null","null","14.5119","9.31","7.054","null",
"2495288","null","Virgil Green","TE","DEN","TE","DEN","null","2.7627","null","null","348","50","null","null","0.0409","null","null","null","3.6907","1.0866","3.4977","null",
"2495306","null","Ricardo Lockette","WR","SEA","WR","SEA","null","1.7587","null","null","384","131","null","null","0.0764","null","null","null","3.1856","0.1147","6.2175","null",
"2495314","null","Bruce Miller","RB","SF","RB","SF","null","2.3076","null","null","361","87","null","null","0.0254","null","null","null","3.2454","0.9058","5.8613","null",
"2495315","null","Denarius Moore","WR","FA","WR","FA","null","0","null","null","535","166","null","null","0","null","null","null","0","0","null","null",
"2495328","null","Bilal Powell","RB","NYJ","RB","NYJ","null","7.0711","null","null","213","48","null","null","0.533","null","null","null","9.1726","3.3573","3.9398","null",
"2495331","null","Aldrick Robinson","WR","FA","WR","FA","null","0","null","null","535","166","null","null","0","null","null","null","0","0","null","null",
"2495338","null","Dane Sanzenbacher","WR","FA","WR","FA","null","0","null","null","535","166","null","null","0","null","null","null","0","0","null","null",
"2495340","null","Anthony Sherman","RB","KC","RB","KC","null","1.3572","null","null","404","101","null","null","0.0496","null","null","null","1.7487","0.6078","5.7016","null",
"2495341","null","Cecil Shorts","WR","HOU","WR","HOU","null","7.5228","null","null","201","64","null","null","0.0977","null","null","null","8.2593","6.0439","3.1619","null",
